Timestamp,Temperature,Temperature_setpoint,Temperature_error,Temperature_PID_output,Temperature_Kp,Temperature_Ki,Temperature_Kd,Timestamp (s),Diameter,Diameter_setpoint,Fan_duty_cycle,Extruder_RPM,Spooler_setpoint,Spooler_RPM,Spooler_Kp,Spooler_Ki,Spooler_Kd
113.679,90.62317918,90,-0.377710315,2.40486184,2,0.001,0.05,1743096717,0,0.35,30,0.1,30,26.30346259,0.8,0,0.04
113.951,85.7429447,90,0.084271237,3.418499627,2,0.001,0.05,1743096717,0,0.35,30,0.1,30,11.15758162,0.8,0,0.04
114.226,90.23272759,90,-0.083954685,2.966500569,2,0.001,0.05,1743096717,0,0.35,30,0.1,30,15.65041246,0.8,0,0.04
114.497,91.67179414,90,-0.18881618,2.768021188,2,0.001,0.05,1743096717,0,0.35,30,0.1,30,12.60278505,0.8,0,0.04
114.793,90.49291037,90,-0.070927804,3.043022925,2,0.001,0.05,1743096717,0,0.35,30,0.1,30,14.04947825,0.8,0.1,0.04
115.065,90.23272759,90,-0.096899539,2.966366219,2,0.001,0.05,1743096718,0,0.35,30,0.1,30,22.77488853,0.8,0.1,0.04
115.35,90.10281131,90,-0.083907911,2.999379082,2,0.001,0.05,1743096718,0,0.35,30,0.1,30,18.55512593,0.8,0.1,0.04
115.621,90.23272759,90,-0.044862752,3.082371373,2,0.001,0.05,1743096718,0,0.35,30,0.1,30,21.7229852,0.8,0.1,0.04
115.893,89.19454235,90,0.124090758,3.444142034,2,0.001,0.05,1743096718,0,0.35,30,0.1,30,18.73870744,0.8,0.1,0.04
116.179,89.71374913,90,0.175988605,3.526044871,2,0.001,0.05,1743096718,0,0.35,30,0.1,30,20.62785002,0.8,0.1,0.04
116.469,90.23272759,90,0.215033764,3.60186101,2,0.001,0.05,1743096719,0,0.35,30,0.1,30,20.01298916,0.8,0.1,0.04
116.75,89.71374913,90,-0.182046679,2.730362032,2,0.001,0.05,1743096719,0,0.35,30,0.1,30,19.48671262,0.8,0.1,0.04
117.031,90.10281131,90,-0.169055051,2.829146692,2,0.001,0.05,1743096719,0,0.35,30,0.1,30,20.44876505,0.8,0.1,0.04
117.314,89.84332322,90,0.01379204,3.22487652,2,0.001,0.05,1743096719,0,0.35,30,0.1,30,20.8909443,0.8,0.1,0.04
117.597,88.55046837,90,0.20803624,3.615377525,2,0.001,0.05,1743096719,0,0.35,30,0.1,30,19.86228634,0.8,0.1,0.04
117.876,89.58428681,90,0.272880318,3.72247128,2,0.001,0.05,1743096720,0,0.35,30,0.1,30,21.76739751,0.8,0.1,0.04
118.152,89.71374913,90,0.311786537,3.795787632,2,0.001,0.05,1743096720,0,0.35,30,0.1,30,22.80893625,0.8,0.1,0.04
118.44,89.97301024,90,0.337758272,3.845298368,2,0.001,0.05,1743096720,0,0.35,30,0.1,30,20.51861886,0.8,0.1,0.04
118.734,89.84332322,90,0.272880185,3.700072475,2,0.001,0.05,1743096720,0,0.35,30,0.1,30,22.09157994,0.8,0.1,0.04
